producto_id,familia,categoria,subfamilia_slug,nombre,referencia,precio_eur,gama_marca,grosor_nm,cabos,formato,longitud_m,contenido_cantidad,contenido_unidad,color_nombre,color_codigo,cremallera_maya,cremallera_material,cremallera_tipo,cremallera_largo_cm,ancho_mm,acabado,aguja_sistema,aguja_calibre,soporte,es_pack,unidades_pack,es_outlet,eje_variedad,kits,n_kits,kit_a_marroquineria,kit_b_tapiceria,kit_c_bolsos,kit_d_costura_tecnica,kit_e_bordado,kit_f_acabado,url
323-R+1288-9999999026294,AGUJAS Y LEZNAS,Coser a Máquina,coser-a-maquina,AGUJA DE MÁQUINA DE COSER 134D  90/14,R-1288,4.94,,,,Unidad,,,,,,,,,,,,134D,90/14,,false,,false,Único,D,1,false,false,false,true,false,false,https://canodiy.es/coser-a-maquina/323-R+1288-9999999026294.html
288-R+2070-9999999026515,AGUJAS Y LEZNAS,Coser a Máquina,coser-a-maquina,AGUJA DE MÁQUINA DE COSER 134LR  110/18,R-2070,4.94,,,,Unidad,,,,,,,,,,,,134LR,110/18,,false,,false,Único,D,1,false,false,false,true,false,false,https://canodiy.es/coser-a-maquina/288-R+2070-9999999026515.html
289-R+24901-9999999026539,AGUJAS Y LEZNAS,Coser a Máquina,coser-a-maquina,AGUJA DE MÁQUINA DE COSER 134LR  120/19,R-24901,4.94,,,,Unidad,,,,,,,,,,,,134LR,120/19,,false,,false,Único,D,1,false,false,false,true,false,false,https://canodiy.es/coser-a-maquina/289-R+24901-9999999026539.html
319-R+2071-9999999026546,AGUJAS Y LEZNAS,Coser a Máquina,coser-a-maquina,AGUJA DE MÁQUINA DE COSER 134LR  130/21,R-2071,4.94,,,,Unidad,,,,,,,,,,,,134LR,130/21,,false,,false,Único,D,1,false,false,false,true,false,false,https://canodiy.es/coser-a-maquina/319-R+2071-9999999026546.html
290-R+2072-9999999026560,AGUJAS Y LEZNAS,Coser a Máquina,coser-a-maquina,AGUJA DE MÁQUINA DE COSER 134LR  140/22,R-2072,4.94,,,,Unidad,,,,,,,,,,,,134LR,140/22,,false,,false,Único,D,1,false,false,false,true,false,false,https://canodiy.es/coser-a-maquina/290-R+2072-9999999026560.html
43-R+15483-9999999026683,AGUJAS Y LEZNAS,Coser a Máquina,coser-a-maquina,AGUJA DE MÁQUINA DE COSER 134LR  70/10,R-15483,4.94,,,,Unidad,,,,,,,,,,,,134LR,70/10,,false,,false,Único,D,1,false,false,false,true,false,false,https://canodiy.es/coser-a-maquina/43-R+15483-9999999026683.html
291-R+15500-9999999026638,AGUJAS Y LEZNAS,Coser a Máquina,coser-a-maquina,AGUJA DE MÁQUINA DE COSER 134LR  90/14,R-15500,4.94,,,,Unidad,,,,,,,,,,,,134LR,90/14,,false,,false,Único,D,1,false,false,false,true,false,false,https://canodiy.es/coser-a-maquina/291-R+15500-9999999026638.html
293-R+1329-9999999027505,AGUJAS Y LEZNAS,Coser a Máquina,coser-a-maquina,AGUJA DE MÁQUINA DE COSER 134PCL  110/18,R-1329,4.94,,,,Unidad,,,,,,,,,,,,134PCL,110/18,,false,,false,Único,D,1,false,false,false,true,false,false,https://canodiy.es/coser-a-maquina/293-R+1329-9999999027505.html
294-R+10787-9999999027512,AGUJAS Y LEZNAS,Coser a Máquina,coser-a-maquina,AGUJA DE MÁQUINA DE COSER 134PCL  120/19,R-10787,4.94,,,,Unidad,,,,,,,,,,,,134PCL,120/19,,false,,false,Único,D,1,false,false,false,true,false,false,https://canodiy.es/coser-a-maquina/294-R+10787-9999999027512.html
307-R+1330-9999999027482,AGUJAS Y LEZNAS,Coser a Máquina,coser-a-maquina,AGUJA DE MÁQUINA DE COSER 134PCL  65/9,R-1330,4.94,,,9,Unidad,,,,,,,,,,,,134PCL,65/9,,false,,false,Único,D,1,false,false,false,true,false,false,https://canodiy.es/coser-a-maquina/307-R+1330-9999999027482.html
309-R+1331-9999999027529,AGUJAS Y LEZNAS,Coser a Máquina,coser-a-maquina,AGUJA DE MÁQUINA DE COSER 134PCL  70/10,R-1331,4.94,,,,Unidad,,,,,,,,,,,,134PCL,70/10,,false,,false,Único,D,1,false,false,false,true,false,false,https://canodiy.es/coser-a-maquina/309-R+1331-9999999027529.html
295-R+1332-9999999027475,AGUJAS Y LEZNAS,Coser a Máquina,coser-a-maquina,AGUJA DE MÁQUINA DE COSER 134PCL  75/11,R-1332,4.94,,,,Unidad,,,,,,,,,,,,134PCL,75/11,,false,,false,Único,D,1,false,false,false,true,false,false,https://canodiy.es/coser-a-maquina/295-R+1332-9999999027475.html
297-R+1334-9999999027451,AGUJAS Y LEZNAS,Coser a Máquina,coser-a-maquina,AGUJA DE MÁQUINA DE COSER 134PCL  90/14,R-1334,4.94,,,,Unidad,,,,,,,,,,,,134PCL,90/14,,false,,false,Único,D,1,false,false,false,true,false,false,https://canodiy.es/coser-a-maquina/297-R+1334-9999999027451.html
292-R+1328-9999999027499,AGUJAS Y LEZNAS,Coser a Máquina,coser-a-maquina,AGUJA DE MÁQUINA DE COSER 134PCL 100/16,R-1328,4.94,,,,Unidad,,,,,,,,,,,,134PCL,100/16,,false,,false,Único,D,1,false,false,false,true,false,false,https://canodiy.es/coser-a-maquina/292-R+1328-9999999027499.html
296-R+1333-9999999027468,AGUJAS Y LEZNAS,Coser a Máquina,coser-a-maquina,AGUJA DE MÁQUINA DE COSER 134PLC  80/12,R-1333,4.94,,,,Unidad,,,,,,,,,,,,134PLC,80/12,,false,,false,Único,D,1,false,false,false,true,false,false,https://canodiy.es/coser-a-maquina/296-R+1333-9999999027468.html
318-R+1335-9999999027635,AGUJAS Y LEZNAS,Coser a Máquina,coser-a-maquina,AGUJA DE MÁQUINA DE COSER 134R  100/16,R-1335,3.07,,,,Unidad,,,,,,,,,,,,134R,100/16,,false,,false,Único,D,1,false,false,false,true,false,false,https://canodiy.es/coser-a-maquina/318-R+1335-9999999027635.html
298-R+1336-9999999027659,AGUJAS Y LEZNAS,Coser a Máquina,coser-a-maquina,AGUJA DE MÁQUINA DE COSER 134R  110/18,R-1336,3.07,,,,Unidad,,,,,,,,,,,,134R,110/18,,false,,false,Único,D,1,false,false,false,true,false,false,https://canodiy.es/coser-a-maquina/298-R+1336-9999999027659.html
321-R+1337-9999999027673,AGUJAS Y LEZNAS,Coser a Máquina,coser-a-maquina,AGUJA DE MÁQUINA DE COSER 134R  120/19,R-1337,3.07,,,,Unidad,,,,,,,,,,,,134R,120/19,,false,,false,Único,D,1,false,false,false,true,false,false,https://canodiy.es/coser-a-maquina/321-R+1337-9999999027673.html
